fid,cat,from_cat,to_cat,cost
"26304","37","3","8",55341.613
"26305","42","3","13",16505.02
"26306","44","3","15",24813.45
"26307","45","3","16",19210.288
"26308","6","1","7",42923.151
"26309","7","1","8",52516.168
"26310","21","2","7",41061.974
"26311","22","2","8",50654.991
"26312","36","3","7",45748.596
"26313","37","3","8",55341.613
"26314","51","4","7",33203.422
"26315","52","4","8",42796.439
"26316","66","5","7",31881.864
"26317","67","5","8",41474.881
"26318","81","6","7",40631.321
"26319","82","6","8",50224.338
"26320","127","9","7",56982.315
"26321","128","9","8",66575.332
"26322","142","10","7",53589.138
"26323","143","10","8",63182.155
"26324","157","11","7",48706.86
"26325","158","11","8",58299.877
"26326","172","12","7",54043.439
"26327","173","12","8",63636.456
"26328","187","13","7",35282.18
"26329","188","13","8",44875.197
"26330","202","14","7",38299.519
"26331","203","14","8",47892.536
"26332","217","15","7",24325.066
"26333","218","15","8",33918.083
"26334","232","16","7",29038.636
"26335","233","16","8",38631.653
"26336","32","3","2",5512.047
"26337","35","3","6",5836.34
"26338","152","11","2",9552.048
"26339","156","11","6",9876.341
"26340","73","5","14",17206.884
"26341","200","14","5",17149.991
"26342","104","7","15",24321.74
"26343","119","8","15",33915.482
"26344","230","16","5",6385.887
"26345","75","5","16",6385.887
"26346","16","2","1",4986.93
"26347","76","6","1",5263.2
"26348","9","1","10",15634.485
"26349","11","1","12",18491.663
"26350","41","3","12",15242.894
"26351","136","10","1",15495.424
"26352","137","10","2",13843.668
"26353","139","10","4",22901.087
"26354","140","10","5",23811.327
"26355","141","10","6",13673.82
"26356","142","10","7",53589.138
"26357","143","10","8",63182.155
"26358","147","10","13",24345.562
"26359","149","10","15",32653.992
"26360","150","10","16",27050.83
"26361","166","12","1",18172.826
"26362","168","12","3",15040.772
"26363","3","1","4",12235.1
"26364","4","1","5",13145.34
"26365","6","1","7",42923.151
"26366","7","1","8",52516.168
"26367","12","1","13",13679.575
"26368","14","1","15",21988.005
"26369","15","1","16",16384.843
"26370","154","11","4",18018.809
"26371","155","11","5",18929.049
"26372","157","11","7",48706.86
"26373","158","11","8",58299.877
"26374","162","11","13",19463.284
"26375","164","11","15",27771.714
"26376","165","11","16",22168.552
"26377","151","11","1",6231.658
"26378","15","1","16",16384.843
"26379","30","2","16",14523.666
"26380","45","3","16",19210.288
"26381","60","4","16",7084.258
"26382","90","6","16",14093.013
"26383","135","9","16",30444.007
"26384","150","10","16",27050.83
"26385","165","11","16",22168.552
"26386","195","13","16",9635.426
"26387","226","16","1",16570.068
"26388","227","16","2",13937.276
"26389","228","16","3",19200.343
"26390","229","16","4",7027.227
"26391","231","16","6",13871.165
"26392","234","16","9",30303.829
"26393","235","16","10",26924.884
"26394","236","16","11",22222.861
"26395","238","16","13",9532.286
"26396","217","15","7",24325.066
"26397","218","15","8",33918.083
"26398","104","7","15",24321.74
"26399","119","8","15",33915.482
"26400","1","1","2",4936.835
"26401","5","1","6",5177.692
"26402","53","4","9",26323.243
"26403","54","4","10",22944.298
"26404","56","4","12",24838.5
"26405","68","5","9",27157.792
"26406","69","5","10",23778.847
"26407","71","5","12",25673.049
"26408","98","7","9",56849.324
"26409","99","7","10",53470.379
"26410","113","8","9",66443.066
"26411","114","8","10",63064.121
"26412","189","13","9",27637.007
"26413","190","13","10",24258.062
"26414","192","13","12",26152.264
"26415","197","14","2",11953.243
"26416","201","14","6",11490.306
"26417","219","15","9",35796.404
"26418","220","15","10",32417.459
"26419","234","16","9",30303.829
"26420","235","16","10",26924.884
"26421","28","2","14",12036.762
"26422","88","6","14",11606.109
"26423","124","9","4",26294.264
"26424","125","9","5",27204.504
"26425","127","9","7",56982.315
"26426","128","9","8",66575.332
"26427","132","9","13",27738.739
"26428","134","9","15",36047.169
"26429","135","9","16",30444.007
"26430","139","10","4",22901.087
"26431","140","10","5",23811.327
"26432","142","10","7",53589.138
"26433","143","10","8",63182.155
"26434","147","10","13",24345.562
"26435","149","10","15",32653.992
"26436","150","10","16",27050.83
"26437","169","12","4",24737.471
"26438","170","12","5",25647.711
"26439","177","12","13",26181.946
"26440","166","12","1",18172.826
"26441","168","12","3",15040.772
"26442","73","5","14",17206.884
"26443","103","7","14",38327.3
"26444","118","8","14",47921.042
"26445","222","15","12",33314.129
"26446","224","15","14",17560.633
"26447","237","16","12",27845.949
"26448","239","16","14",12092.453
"26449","172","12","7",54043.439
"26450","173","12","8",63636.456
"26451","179","12","15",33244.14
"26452","202","14","7",38299.519
"26453","203","14","8",47892.536
"26454","209","14","15",17500.22
"26455","204","14","9",21138.452
"26456","133","9","14",20949.708
"26457","172","12","7",54043.439
"26458","173","12","8",63636.456
"26459","179","12","15",33244.14
"26460","180","12","16",27760.989
"26461","101","7","12",53784.739
"26462","116","8","12",63378.481
"26463","13","1","14",15954.095
"26464","28","2","14",12036.762
